GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stars,tools,KDTreeConstructor,0,62,0,2,0,10,0,3,0,2
stars,tools,CSVParser,0,15,0,2,0,5,0,3,0,2
stars,tools,KDTree,0,78,0,4,0,21,0,8,0,6
stars,tools,DistanceCalculator,5,37,1,3,1,6,1,3,0,2
stars,tools,CoordinateComparator,0,32,0,4,0,8,0,4,0,2
stars,tools,Repl,75,18,8,0,21,5,5,3,1,3
stars,tools,GetKNeighbors,14,188,1,13,3,35,1,8,0,2
stars,tools,NeighborsInRadius,29,122,2,12,5,24,2,7,0,2
stars,mockaroo,MockParser,73,0,4,0,18,0,4,0,2,0
stars,mockaroo,MockCommand,77,3,6,0,28,1,4,1,1,1
stars,mockaroo,MockPerson,104,0,16,0,24,0,10,0,2,0
stars,edu.brown.cs.student.stars,NeighborCommand,88,263,14,28,29,57,11,13,0,3
stars,edu.brown.cs.student.stars,StarsCommand,104,9,10,0,33,4,6,1,1,1
stars,edu.brown.cs.student.stars,Main,104,0,2,0,29,0,6,0,5,0
stars,edu.brown.cs.student.stars,NaiveRadiusCommand,54,203,10,20,17,48,8,11,0,4
stars,edu.brown.cs.student.stars,StarsParser,4,84,1,3,1,20,1,3,0,2
stars,edu.brown.cs.student.stars,Star,0,39,0,0,0,10,0,6,0,6
stars,edu.brown.cs.student.stars,NaiveNeighborCommand,53,247,9,25,20,58,8,13,0,4
stars,edu.brown.cs.student.stars,NeighborDistances,0,53,0,4,0,12,0,4,0,2
stars,edu.brown.cs.student.stars,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
stars,edu.brown.cs.student.stars,StarsUniverse,102,0,0,0,20,0,2,0,2,0
stars,edu.brown.cs.student.stars,RadiusCommand,81,186,11,19,21,42,8,10,0,3
stars,edu.brown.cs.student.stars,Main.FrontHandler,10,0,0,0,2,0,1,0,1,0
